,ID,ModifiedTMC,TOD,YEAR,CHAMP_LINK_COUNT,PRESIDIO,PHF,ALPHA,BETA,AT,FT2,LANES,DISTANCE,CAPACITY,FFS,INRIX_SPEED,SPEED_20TH,FF_TIME,INRIX_TIME,INRIX_VOL,CHAMP_PCE,CHAMP_VOL,TNC_VOL,TNC_PUDO,AVG_DUR,AVG_DUR_MAJOR_ARTERIALS,AVG_DUR_MINOR_ARTERIALS,BASE_INRIX_VOL_PRESIDIO
888,105-10459_AM,105-10459,AM,2016,6,0.0,0.348,0.6,3.5,1.0,3,2.0,0.495,4022.98850575,22.42,10.3059612519,8.0,1.32471008029,2.8818272526,4875.18859738,2028.41401149,1801.78218058,164.40006059,8.83946868687,1.718785578,0.0,1.718785578,0.0
889,105-10460_AM,105-10460,AM,2016,1,0.0,0.348,0.6,3.5,1.0,3,2.0,0.0497,4022.98850575,27.54,13.9667800454,9.0,0.108278867102,0.213506620016,4617.29328285,2627.04419,2337.12705,146.24767,0.0,0.0,0.0,0.0,0.0
890,105-10461_AM,105-10461,AM,2016,1,0.0,0.348,0.6,3.5,1.0,3,2.0,0.11,4022.98850575,27.15,12.3227568922,9.0,0.243093922652,0.535594433757,4907.85828369,932.68378,797.6025,71.22677,4.94,0.960555555556,0.0,0.960555555556,0.0
891,105-10462_AM,105-10462,AM,2016,2,0.0,0.348,0.6,3.5,1.0,3,2.0,0.1,4022.98850575,26.59,16.2499754902,10.0,0.225648740128,0.369231326141,4091.09473912,1863.08665874,1620.03340476,124.76792333,3.17223,0.6168225,0.0,0.6168225,0.0
892,105-10463_AM,105-10463,AM,2016,2,0.0,0.348,0.6,3.5,1.0,3,2.0,0.1,4022.98850575,21.4,16.8076455696,12.374,0.280373831776,0.35698039771,3213.23357775,324.895864,231.336846,39.35206,1.948,0.378777777778,0.0,0.378777777778,0.0
893,105-10464_AM,105-10464,AM,2016,2,0.0,0.348,0.6,3.5,1.0,3,1.33333333333,0.12,2681.99233716,19.03,12.1525304136,7.33,0.378349973726,0.592469202294,2637.56669493,450.091096667,334.86937,62.1206233333,2.9,0.563888888889,0.0,0.563888888889,0.0
894,105-10465_AM,105-10465,AM,2016,2,0.0,0.348,0.6,3.5,0.0,3,1.0,0.137,1867.81609195,21.0,9.60049751244,7.0,0.391428571429,0.856205627818,2270.02957252,657.130089489,492.224114745,53.7429947445,0.670131386861,0.12099594485,0.0,0.12099594485,0.0
895,105-10466_AM,105-10466,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,1.0,0.09,1867.81609195,22.15,8.34909090909,6.0,0.243792325056,0.646777003484,2495.06520506,675.88934,501.53853,51.84967,0.0,0.0,0.0,0.0,0.0
896,105-10467_AM,105-10467,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,1.0,0.1,1867.81609195,19.25,10.4833673469,7.028,0.311688311688,0.572335185962,2053.66032936,1269.20398,943.87188,111.95386,0.04,0.00722222222222,0.0,0.00722222222222,0.0
897,105-10468_AM,105-10468,AM,2016,2,0.0,0.348,0.6,3.5,0.0,3,1.0,0.17,1867.81609195,21.47,8.6362924282,6.318,0.475081509082,1.18106236962,2420.30118021,1752.63928,1338.08593,168.91922,0.0552705882353,0.00997941176471,0.0,0.00997941176471,0.0
898,105-10469_AM,105-10469,AM,2016,3,0.0,0.348,0.6,3.5,0.0,3,1.0,0.17,1867.81609195,19.79,6.85144781145,5.0,0.515411824154,1.48873643655,2591.82774657,1306.35077765,948.620141176,102.465901765,0.0329411764706,0.0059477124183,0.0,0.0059477124183,0.0
899,105-10470_AM,105-10470,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,1.0,0.11,1867.81609195,19.95,8.81631205674,5.524,0.330827067669,0.748612340117,2310.34698303,1195.24744,841.18475,100.30174,2.53,0.456805555556,0.0,0.456805555556,0.0
900,105-10471_AM,105-10471,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,1.0,0.07,1867.81609195,19.73,9.21912457912,6.0,0.212873796249,0.455574709286,2243.8337247,1552.65771,1091.14521,160.46578,2.75,0.496527777778,0.0,0.496527777778,0.0
901,105-10472_AM,105-10472,AM,2016,2,0.0,0.348,0.6,3.5,0.0,3,2.0,0.17,3735.63218391,19.24,7.21920096852,6.0,0.530145530146,1.41289874662,5000.56685723,1777.44548047,1275.54055271,184.434933941,6.979,1.26009722222,0.0,1.26009722222,0.0
902,105-10473_AM,105-10473,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.1,3735.63218391,23.38,9.60947368421,7.0,0.256629597947,0.624383831745,4790.62956589,1756.44019,1250.71463,205.71663,7.54,1.36138888889,0.0,1.36138888889,0.0
903,105-10474_AM,105-10474,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.09,3735.63218391,22.36,10.1433564014,6.0,0.241502683363,0.532368161613,4558.54945537,3739.41284,2906.41895,430.01886,9.11,1.64486111111,0.0,1.64486111111,0.0
904,105-10475_AM,105-10475,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.04,3735.63218391,19.89,7.06962962963,4.0,0.120663650075,0.33948030176,5123.9835319,1424.99158,970.61643,141.97303,3.89,0.702361111111,0.0,0.702361111111,0.0
905,105-10476_AM,105-10476,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.06,3735.63218391,21.55,8.06701754386,5.0,0.167053364269,0.446261580618,5005.92800257,2899.146,2043.00629,317.61213,7.68,1.38666666667,0.0,1.38666666667,0.0
906,105-10477_AM,105-10477,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.05,3735.63218391,21.46,8.24264788732,5.0,0.139794967381,0.363960712748,4947.01352121,2511.27686,1727.20828,254.90773,9.11,1.64486111111,0.0,1.64486111111,0.0
907,105-10478_AM,105-10478,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.1,3735.63218391,20.37,8.35248677249,6.108,0.294550810015,0.718348937679,4796.14145179,2126.7771,1448.47034,239.61131,10.98,1.9825,0.0,1.9825,0.0
908,105-10479_AM,105-10479,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.05,3735.63218391,22.78,10.4210035842,6.0,0.131694468832,0.287880142806,4538.51075085,3295.479,2351.16088,313.56185,5.69,1.02736111111,0.0,1.02736111111,0.0
909,105-10480_AM,105-10480,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.02,3735.63218391,22.33,11.81472103,8.0,0.0537393640842,0.101568204357,4181.1096678,2160.42896,1464.17812,148.05421,1.81,0.326805555556,0.0,0.326805555556,0.0
910,105-10481_AM,105-10481,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.07,3735.63218391,18.95,8.89197368421,5.0,0.221635883905,0.472336080735,4477.5387265,1987.12439,1343.32481,199.97618,15.86,2.86361111111,0.0,2.86361111111,0.0
911,105-10482_AM,105-10482,AM,2016,1,0.0,0.348,0.6,3.5,0.0,3,2.0,0.07,3735.63218391,21.06,5.8185106383,4.0,0.19943019943,0.721834204849,5691.66891988,1798.13586,1234.98895,182.66201,13.01,2.34902777778,0.0,2.34902777778,0.0
912,105-10483_AM,105-10483,AM,2016,3,0.0,0.348,0.6,3.5,0.0,3,2.0,0.21,3735.63218391,17.47,5.62339100346,4.206,0.721236405266,2.24064092151,5348.17242527,783.919497619,514.552139048,144.179847143,22.2442857143,4.01632936508,0.0,4.01632936508,0.0
913,105-10485_AM,105-10485,AM,2016,3,0.0,0.348,0.6,3.5,1.0,2,2.0,0.13,5172.4137931,25.81,13.8312711864,10.78,0.302208446339,0.563939488633,5744.27696341,3039.12595462,2701.63944615,175.490604615,0.663076923077,0.165769230769,0.165769230769,0.0,0.0
914,105-10486_AM,105-10486,AM,2016,4,0.0,0.348,0.6,3.5,1.0,2,4.0,0.13537,10344.8275862,23.16,11.1530597015,7.434,0.350699481865,0.728248589838,12225.3815105,4581.10949172,4079.25781219,253.383818361,2.11687966315,0.529219915786,0.529219915786,0.0,0.0
915,105-10487_AM,105-10487,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,4.0,0.06,10344.8275862,25.71,18.7300125,13.212,0.140023337223,0.192204890413,9028.75016994,3418.17737,3017.94065,168.034595,2.73,0.6825,0.6825,0.0,0.0
916,105-10488_AM,105-10488,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,4.0,0.06,10344.8275862,25.89,17.1034913295,12.106,0.139049826188,0.210483341129,9896.01832956,6555.509035,5860.404255,391.92569,2.845,0.71125,0.71125,0.0,0.0
917,105-10489_AM,105-10489,AM,2016,6,0.0,0.348,0.6,3.5,1.0,2,3.0,0.2696,7758.62068966,28.9,18.076603139,12.166,0.559723183391,0.894858391016,7754.00531319,6053.09250417,5519.52276853,335.091311068,3.68370919881,0.920927299703,0.920927299703,0.0,0.0
918,105-10490_AM,105-10490,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,3.0,0.06,7758.62068966,28.58,16.7779082774,9.0,0.125962211337,0.214567867489,8119.30363486,6345.83203,5806.670455,339.76042,2.09,0.5225,0.5225,0.0,0.0
919,105-10493_AM,105-10493,AM,2016,4,0.0,0.348,0.6,3.5,1.0,2,3.0,0.19,7758.62068966,26.75,20.1118406285,15.95,0.426168224299,0.566830267332,6540.72418952,5631.30409789,5099.40933421,355.005016842,4.79157894737,1.19789473684,1.19789473684,0.0,0.0
920,105-10494_AM,105-10494,AM,2016,2,0.0,0.348,0.6,3.5,1.0,2,3.0,0.06,7758.62068966,25.8,10.1560818713,7.18,0.139534883721,0.35446740639,10157.232727,4879.20508,4434.266105,298.98722,4.28,1.07,1.07,0.0,0.0
921,105-10495_AM,105-10495,AM,2016,1,0.0,0.348,0.6,3.5,1.0,3,3.0,0.07,6034.48275862,25.6,9.77680424528,6.67,0.1640625,0.429588226851,8012.48977265,3381.03003,3149.09836,189.18321,3.31,0.643611111111,0.0,0.643611111111,0.0
922,105-10496_AM,105-10496,AM,2016,5,0.0,0.348,0.6,8.5,1.0,4,1.0,0.3,1724.13793103,21.92,12.8988663484,10.0,0.821167883212,1.3954714712,1755.50632071,1366.031834,1285.803028,89.608158,1.38,0.23,0.0,0.0,0.0
923,105-10497_AM,105-10497,AM,2016,6,0.0,0.348,0.6,8.5,1.0,4,1.0,0.39,862.068965517,17.0,10.6975825627,9.0,1.37647058824,2.18741008661,860.2191393,818.185372564,784.17904641,51.9720710256,1.62897435897,0.135747863248,0.0,0.0,0.0
924,105-10499_AM,105-10499,AM,2016,1,0.0,0.348,0.6,3.5,1.0,2,2.0,0.12,5172.4137931,26.1,10.738655914,7.0,0.275862068966,0.670474969834,6629.81290285,949.97955,841.31264,180.62394,11.06,2.765,2.765,0.0,0.0
925,105-10500_AM,105-10500,AM,2016,1,0.0,0.348,0.6,3.5,1.0,2,5.0,0.12,12931.0344828,31.72,27.4913022113,24.79,0.226986128625,0.261901016716,8764.68175683,4602.06982,4226.43584,311.64788,7.7,1.925,1.925,0.0,0.0
926,105-10501_AM,105-10501,AM,2016,3,0.0,0.348,0.6,3.5,1.0,2,4.0,0.24,10344.8275862,32.39,26.5999369483,23.0,0.444581661006,0.541354666667,7743.0021748,4466.67958417,4087.5876875,292.071356667,6.8025,1.700625,1.700625,0.0,0.0
927,105-10502_AM,105-10502,AM,2016,3,0.0,0.348,0.6,3.5,0.0,2,4.0,0.12,9770.11494253,29.53,24.3334496644,20.69,0.243819844226,0.295888996394,7273.05505227,4510.82617333,4134.51205667,309.403493333,4.24,1.00111111111,1.00111111111,0.0,0.0
